icao_code,iata_code,name,latitude,longitude
CYUI, N/A, N/A,0.0,0.0
CYUJ, N/A, N/A,0.0,0.0
CYUK, N/A, N/A,0.0,0.0
CYUL, YUL, MONTREAL INTERNATIONAL DORVAL,45.468,-73.741
CYUQ, N/A, N/A,0.0,0.0
CYUR, N/A, N/A,0.0,0.0
CYUS, N/A, N/A,0.0,0.0
CYUT, YUT, REPULSE BAY,66.521,-86.225
CYUX, YUX, HALL BEACH,68.776,-81.244
CYUY, YUY, ROUYN NORANDA,48.206,-78.836
CYVC, YVC, LA RONGE,55.151,-105.262
CYVG, YVG, VERMILION,53.356,-110.824
CYVM, YVM, QIKIQTARJUAQ,67.546,-64.031
CYVN, N/A, N/A,0.0,0.0
CYVO, YVO, VAL D OR,48.053,-77.783
CYVP, YVP, KUUJJUAQ,58.096,-68.427
CYVQ, YVQ, NORMAN WELLS,65.282,-126.8
CYVR, YVR, VANCOUVER INTERNATIONAL,49.195,-123.182
CYVT, YVT, BUFFALO NARROWS,55.842,-108.418
CYVV, YVV, WIARTON,44.746,-81.107
CYWA, YWA, PETAWAWA,45.952,-77.319
CYWG, YWG, WINNIPEG INTERNATIONAL,49.91,-97.234
CYWK, YWK, WABUSH,52.922,-66.864
CYWL, YWL, WILLIAMS LAKE,52.183,-122.054
CYWO, N/A, N/A,0.0,0.0
CYWR, N/A, N/A,0.0,0.0
CYWY, YWY, WRIGLEY,63.209,-123.437
CYXC, YXC, CRANBROOK,49.61,-115.782
CYXD, YXD, EDMONTON CITY CENTRE,53.573,-113.521
CYXE, YXE, SASKATOON J G DIEFENBAKER INTERNATIONAL,52.171,-106.7
CYXH, YXH, MEDICINE HAT,50.019,-110.721
CYXI, N/A, N/A,0.0,0.0
CYXJ, YXJ, FORT ST JOHN,56.238,-120.74
CYXL, YXL, SIOUX LOOKOUT,50.114,-91.904
CYXN, YXN, N/A,0.0,0.0
CYXP, YXP, PANGNIRTUNG,66.145,-65.714
CYXR, YXR, TIMISKAMING RGNL,47.695,-79.849
CYXS, YXS, PRINCE GEORGE,53.889,-122.679
CYXT, YXT, TERRACE,54.466,-128.577
CYXU, YXU, LONDON,43.036,-81.154
CYXX, YXX, ABBOTSFORD,49.025,-122.363
CYXY, YXY, WHITEHORSE INTERNATIONAL,60.709,-135.068
CYYB, YYB, NORTH BAY,46.364,-79.423
CYYC, YYC, CALGARY INTERNATIONAL,51.114,-114.02
CYYD, YYD, SMITHERS,54.825,-127.183
CYYE, YYE, FORT NELSON,58.836,-122.597
CYYF, YYF, PENTICTON,49.463,-119.602
CYYG, YYG, CHARLOTTETOWN,46.29,-63.121
CYYH, YYH, TALOYOAK,69.547,-93.577
CYYJ, YYJ, VICTORIA INTERNATIONAL,48.647,-123.426
CYYL, YYL, LYNN LAKE,56.864,-101.076
CYYN, YYN, SWIFT CURRENT,50.292,-107.691
CYYQ, YYQ, CHURCHILL,58.739,-94.065
CYYR, YYR, GOOSE BAY,53.319,-60.426
CYYT, YYT, ST JOHNS INTERNATIONAL,47.619,-52.752
CYYU, YYU, KAPUSKASING,49.414,-82.468
CYYW, YYW, ARMSTRONG,50.29,-88.91
CYYY, YYY, MONT JOLI,48.609,-68.208
CYYZ, YYZ, LESTER B PEARSON INTERNATIONAL,43.677,-79.631
CYZA, N/A, N/A,0.0,0.0
CYZD, YZD, DOWNSVIEW,43.742,-79.466
CYZE, YZE, GORE BAY MANITOULIN,45.885,-82.568
CYZF, YZF, YELLOWKNIFE,62.463,-114.44
CYZH, YZH, SLAVE LAKE,55.293,-114.778
CYZP, YZP, SANDSPIT,53.254,-131.814
CYZR, YZR, CHRIS HADFIELD,42.999,-82.309
CYZT, YZT, PORT HARDY,50.681,-127.367
CYZU, YZU, WHITECOURT,54.144,-115.787
CYZV, YZV, SEPT ILES,50.223,-66.266
CYZW, YZW, TESLIN,60.173,-132.743
CYZX, YZX, GREENWOOD,44.984,-64.917
CZFA, ZFA, FARO,62.208,-133.376
CZFM, ZFM, FORT MCPHERSON,67.408,-134.86
CZNB, N/A, N/A,0.0,0.0
CZUE, N/A, N/A,0.0,0.0
DAAB, N/A, BLIDA,36.504,2.814
DAAD, N/A, BOU SAADA,35.333,4.206
DAAE, BJA, SOUMMAM,36.712,5.07
DAAF, N/A, N/A,0.0,0.0
DAAG, ALG, HOUARI BOUMEDIENE,36.691,3.215
DAAJ, DJG, TISKA,24.293,9.452
DAAK, N/A, BOUFARIK,36.546,2.876
DAAM, N/A, TELERGHMA,36.109,6.364
DAAN, N/A, REGGANE,26.71,0.286
DAAP, VVZ, ILLIZI,26.573,8.484
DAAQ, N/A, AIN OUSSERA,35.525,2.879
DAAS, GSF, SETIF AIN ARNAT,36.178,5.324
DAAT, TMR, TAMANRASSET,22.811,5.451
DAAV, GJL, JIJEL,36.795,5.873
DAAW, N/A, N/A,0.0,0.0
DAAX, N/A, N/A,0.0,0.0
DAAY, N/A, MECHERIA,33.536,-0.242
DAAZ, N/A, RELIZANE,35.752,0.626
DABB, AAE, ANNABA,36.822,7.809
DABC, CZL, MOHAMED BOUDIAF INTERNATIONAL,36.277,6.624
DABP, N/A, N/A,0.0,0.0
DABS, TEE, CHEIKH LARBI TEBESSI,35.431,8.121
DABT, N/A, N/A,0.0,0.0
DADF, N/A, N/A,0.0,0.0
DAFH, HRM, HASSI R MEL,32.93,3.312
DAFI, N/A, N/A,0.0,0.0
DAOB, TID, BOU CHEKIF,35.341,1.463
DAOC, CBH, N/A,0.0,0.0
DAOE, N/A, BOU SFER,35.735,-0.805
DAOF, TIN, TINDOUF,27.7,-8.167
DAOI, QAS, ECH CHELIFF,36.213,1.332
DAOL, TAF, TAFARAOUI,35.542,-0.532
DAON, TLM, ZENATA,35.017,-1.45
